TITLE = 'Cavity Iterative Residual History'
variables='Iteration''Time(s)''Res1''Res2''Res3'
1 0.00027465820312500005 [1.] [1.] [1.]
10 0.0027465820312500004 [186.49387289] [17.51954104] [5.65652801]
20 0.005493164062500001 [186.74087099] [12.00545246] [4.06547222]
30 0.008239746093750002 [186.86063233] [8.36577626] [6.23213042]
40 0.010986328125000002 [186.95009525] [5.88944517] [4.13879174]
50 0.013732910156250002 [187.26359478] [4.44543308] [3.29973561]
60 0.016479492187500003 [187.38528123] [3.55605188] [2.24585276]
70 0.019226074218750003 [186.76728276] [2.8329335] [1.93517082]
80 0.021972656250000003 [185.72983941] [2.27064466] [1.95853976]
90 0.024719238281250003 [185.3049402] [1.79903899] [2.06571233]
100 0.027465820312500003 [185.32699997] [1.43607781] [1.90847097]
110 0.030212402343750003 [185.6055771] [1.12977249] [1.82607144]
120 0.03295898437500001 [186.04711275] [0.89741366] [1.91885995]
130 0.03570556640625001 [186.5584242] [0.79279407] [2.0341626]
140 0.03845214843750001 [186.19358133] [0.637454] [1.83769524]
150 0.04119873046875001 [185.67055623] [0.65639005] [1.90006701]
160 0.04394531250000001 [185.39272535] [0.64336882] [2.14524737]
170 0.04669189453125001 [185.63808628] [0.66816089] [2.05690503]
180 0.04943847656250001 [186.09513228] [0.70215233] [1.9533273]
190 0.05218505859375001 [186.74985228] [0.72116645] [2.05100817]
200 0.05493164062500001 [187.7304725] [0.82809566] [2.22039492]
210 0.05767822265625001 [187.73194451] [0.83064008] [2.06614945]
220 0.06042480468750001 [187.81875964] [0.87309882] [2.00449766]
230 0.06317138671875001 [187.71815293] [0.93766047] [2.17235787]
240 0.06591796875000001 [188.30252588] [0.91839755] [2.23334578]
250 0.06866455078125001 [189.33773633] [0.93265676] [2.08734468]
260 0.07141113281250001 [190.68260712] [0.90474953] [2.09430486]
270 0.07415771484375001 [192.43835389] [0.90824649] [2.2553449]
280 0.07690429687500001 [193.94835252] [0.91365084] [2.30179688]
290 0.07965087890625001 [195.11765532] [0.88771676] [2.15901796]
300 0.08239746093750001 [196.24539228] [0.90147601] [2.2239728]
310 0.08514404296875001 [197.68680882] [0.88433666] [2.42602193]
320 0.08789062500000001 [199.69905141] [0.87217867] [2.37680871]
330 0.09063720703125001 [201.98150796] [0.86064059] [2.32363817]
340 0.09338378906250001 [204.50148421] [0.844914] [2.45916508]
350 0.09613037109375001 [207.15473648] [0.92846105] [2.68127403]
360 0.09887695312500001 [208.69470203] [0.86271785] [2.51415322]
370 0.10162353515625001 [210.2220305] [0.87179551] [2.52664085]
380 0.10437011718750001 [211.31430197] [0.9166238] [2.70904006]
390 0.10711669921875001 [212.75164723] [0.88499529] [2.79259568]
400 0.10986328125000001 [214.28118896] [0.89207987] [2.71178616]
410 0.11260986328125001 [215.76887934] [0.86563489] [2.77100651]
420 0.11535644531250001 [217.37395518] [0.90156709] [2.96871387]
430 0.11810302734375001 [217.92581664] [0.87025221] [2.94369679]
440 0.12084960937500001 [218.08403866] [0.87356386] [2.8891895]
450 0.12359619140625001 [217.75799281] [0.9069031] [2.9834068]
460 0.12634277343750003 [217.53106792] [0.88103726] [3.13632342]
470 0.12908935546875003 [217.52343989] [0.87995473] [3.05254556]
480 0.13183593750000003 [217.5207608] [0.85860416] [2.99808608]
490 0.13458251953125003 [217.60930707] [0.8471266] [3.08408158]
500 0.13732910156250003 [217.41254729] [0.88774686] [3.14920061]
510 0.14007568359375003 [216.35162611] [0.84305981] [2.91632931]
520 0.14282226562500003 [215.14557741] [0.85241053] [2.83072056]
530 0.14556884765625003 [213.75921025] [0.87142326] [2.87774589]
540 0.14831542968750003 [212.79648355] [0.84211874] [2.73494893]
550 0.15106201171875003 [212.00814631] [0.83817509] [2.47033954]
560 0.15380859375000003 [211.34991775] [0.80381646] [2.3689953]
570 0.15655517578125003 [211.00018344] [0.85183475] [2.42127576]
580 0.15930175781250003 [209.57475814] [0.79824787] [2.17787303]
590 0.16204833984375003 [208.16533852] [0.80091175] [2.05069286]
600 0.16479492187500003 [206.38559706] [0.83204497] [2.18709521]
610 0.16754150390625003 [205.03368151] [0.7851378] [2.37569229]
620 0.17028808593750003 [204.03145288] [0.78097602] [2.36852969]
630 0.17303466796875003 [203.20845895] [0.74300377] [2.4873786]
640 0.17578125000000003 [202.65534599] [0.7296158] [2.75627452]
650 0.17852783203125003 [201.8564161] [0.74426403] [2.94622129]
660 0.18127441406250003 [200.49815325] [0.70527708] [2.91072467]
670 0.18402099609375003 [199.0571318] [0.72221846] [2.99617957]
680 0.18676757812500003 [197.73819221] [0.72343072] [3.15447125]
690 0.18951416015625003 [196.97172542] [0.71542491] [3.09796108]
700 0.19226074218750003 [196.5068776] [0.72892868] [2.96275768]
710 0.19500732421875003 [196.32376176] [0.73114226] [2.92600673]
720 0.19775390625000003 [196.56859395] [0.82951208] [2.94298618]
730 0.20050048828125003 [195.75196461] [0.81785211] [2.66411709]
740 0.20324707031250003 [195.16707401] [0.86991954] [2.44731095]
750 0.20599365234375003 [194.36497216] [0.94676911] [2.39303545]
760 0.20874023437500003 [194.23069051] [0.95034804] [2.28296262]
770 0.21148681640625003 [194.51872034] [0.98772214] [1.96461098]
780 0.21423339843750003 [195.05065262] [0.99172578] [1.79110066]
790 0.21697998046875003 [195.90611714] [1.01975848] [1.83481687]
800 0.21972656250000003 [196.32442437] [1.02999308] [1.73342379]
810 0.22247314453125003 [196.31107443] [1.01648189] [1.40706438]
